00000.ppm;774;411;815;446;23
00001.ppm;1214;448;1275;467;139
00001.ppm;1213;466;1276;484;139
00001.ppm;1034;316;1088;371;108
00001.ppm;603;527;613;542;87
00001.ppm;983;388;1024;432;89
00001.ppm;386;494;442;552;86
00001.ppm;973;335;1031;390;34
00002.ppm;733;335;810;404;108
00002.ppm;23;205;174;248;139
00002.ppm;22;248;174;297;139
00002.ppm;26;294;177;340;139
00002.ppm;892;476;1006;592;87
00003.ppm;742;443;765;466;62
00003.ppm;742;466;764;489;53
00003.ppm;737;412;769;443;2
00004.ppm;898;342;967;409;2
00004.ppm;906;407;955;459;60
00005.ppm;1177;274;1286;355;158
00005.ppm;1172;164;1284;278;53
00006.ppm;926;350;989;414;60
00007.ppm;825;406;864;445;53
00008.ppm;785;460;811;486;60
00008.ppm;779;424;816;461;36
00009.ppm;925;466;949;490;62
00010.ppm;1193;358;1269;436;36
00011.ppm;720;338;770;398;58
00011.ppm;710;265;780;342;2
00012.ppm;979;364;1034;418;58
00013.ppm;1043;281;1120;356;60
00014.ppm;712;492;732;511;2
00015.ppm;770;426;808;462;20
00016.ppm;901;421;959;478;36
00017.ppm;908;302;1031;408;32
00017.ppm;575;495;598;515;23
00018.ppm;950;455;981;486;62
00019.ppm;838;366;896;422;36
00019.ppm;845;423;888;465;60
00020.ppm;825;428;862;463;12
00021.ppm;825;388;877;437;15
00022.ppm;667;472;692;497;15
00023.ppm;997;505;1066;619;163
00023.ppm;998;292;1074;371;58
00023.ppm;46;350;136;444;12
00023.ppm;945;435;1006;492;12
00024.ppm;134;500;164;541;163
00024.ppm;90;435;163;465;139
00024.ppm;112;463;143;492;34
00025.ppm;269;474;290;495;108
00025.ppm;219;383;273;437;108
00025.ppm;950;328;1031;406;108
00025.ppm;1005;280;1056;335;109
00025.ppm;1011;327;1056;357;158
00025.ppm;731;422;772;459;34
00025.ppm;734;463;767;497;89
00026.ppm;293;342;361;418;108
00026.ppm;453;411;492;451;58
00027.ppm;970;440;1032;502;158
00027.ppm;99;428;158;490;158
00027.ppm;969;386;1024;441;60
00027.ppm;102;375;157;430;60
00028.ppm;775;399;833;453;20
00028.ppm;391;468;417;494;79
00029.ppm;1099;434;1129;453;158
00029.ppm;631;463;666;472;139
00029.ppm;1055;683;1361;751;162
00029.ppm;1054;532;1361;607;162
00029.ppm;875;513;911;620;159
00029.ppm;913;510;963;677;159
00029.ppm;1091;393;1133;436;41
00030.ppm;707;450;734;487;665
00030.ppm;923;288;1054;327;139
00030.ppm;962;322;1025;360;146
00030.ppm;1179;414;1200;437;109
00030.ppm;789;469;823;479;139
00030.ppm;884;460;898;475;109
00030.ppm;394;511;420;537;86
00031.ppm;607;487;622;504;73
00031.ppm;763;426;812;473;20
00031.ppm;597;456;628;488;36
00032.ppm;428;438;463;462;123
00032.ppm;952;404;988;439;158
00032.ppm;951;436;989;454;147
00032.ppm;951;371;987;405;109
00032.ppm;678;443;707;469;34
00032.ppm;683;469;703;493;84
00033.ppm;755;439;779;462;91
00033.ppm;611;440;696;464;139
00033.ppm;608;364;696;440;138
00033.ppm;608;342;694;361;139
00033.ppm;22;505;88;571;86
00034.ppm;870;458;900;476;150
00034.ppm;695;474;726;510;138
00034.ppm;866;430;899;460;16
00035.ppm;267;513;295;607;159
00035.ppm;816;455;894;480;139
00035.ppm;802;348;898;456;138
00035.ppm;968;523;1008;581;163
00035.ppm;264;475;302;514;86
00035.ppm;678;439;714;474;34
00036.ppm;1144;448;1164;464;158
00036.ppm;1133;393;1164;424;36
00036.ppm;1138;424;1163;450;79
00037.ppm;245;484;269;496;101
00037.ppm;250;495;263;506;73
00037.ppm;668;527;690;548;86
00038.ppm;1136;475;1154;487;158
00038.ppm;1135;458;1154;478;109
00038.ppm;1120;444;1142;464;36
00039.ppm;821;425;844;454;109
00039.ppm;823;452;844;470;158
00039.ppm;705;457;761;471;139
00039.ppm;705;472;765;487;139
00039.ppm;938;167;1022;251;36
